Date,Q_SWW,Q_Return,COD_in,PO4P_in,NH4N_in,NO3N_in,DO_in,MLSS,MLVSS,COD_out,PO4P_out,NH4N_out,NO3N_out,DO_out,Condition,SteadyStateIndicator,Comments
18,0.281,0.094,309,3.68,22.08,0,3.39,3.9,3.6,9,2.51,8.99,0,0.08,2,1,#QR25 1CN
19,0.281,0.094,308,3.3,22.71,0,3.36,3.54,3.43,8.33,2.37,8.67,0,0.08,2,1,#QR25 1CN
20,0.281,0.094,319,3.96,23.72,0,3.4,3.24,3.14,7.12,2.61,8.34,0,0.14,2,1,#QR25 1CN
21,0.281,0.094,306,3.77,22.75,0,3.45,3.56,3.47,9.99,2.56,8.23,0,0.07,2,1,#QR25 1CN
22,0.281,0.094,306,3.67,21.67,0,3.36,3.8,3.6,9,2.25,8.76,0,0.06,2,1,#QR25 1CN
23,0.188,0.188,185,2.72,16.77,0,6.69,2.84,2.7,8.53,2.63,6.19,5.7,1.33,3,1,#QR50 1CN
24,0.188,0.188,219,2.75,14.83,0,6.9,3.14,2.83,6.49,2.69,5.18,5.3,1.97,3,0,#QR50 1CN
25,0.188,0.188,216,2.76,15.8,0,6.66,2.77,2.52,5.91,3.2,5.18,4.8,2.05,3,1,#QR50 1CN
26,0.188,0.188,206,2.82,15.43,0,6.77,3.11,2.86,6.83,2.72,4.06,5.5,1.5,3,1,#QR50 1CN
27,0.188,0.188,206,2.6,14.97,0,6.77,3.21,3,7.18,2.6,3.71,5.5,1.83,3,1,#QR50 1CN
28,0.188,0.188,212,2.59,14.99,0,6.91,2.86,2.6,6.23,2.69,4.34,5.2,1.88,3,1,#QR50 1CN
29,0.188,0.188,214,2.59,15.59,0,6.88,2.98,2.8,6.15,2.21,4.33,4.9,1.41,3,1,#QR50 1CN
30,0.188,0.188,210,2.97,16.18,0,6.89,2.79,2.67,6.62,2.24,3.92,5.2,1.64,3,1,#QR50 1CN
31,0.188,0.188,220,2.5,14.96,0,6.61,2.58,2.43,6.25,4.07,3.75,5.4,2.49,3,1,#QR50 1CN
32,0.188,0.188,210,2.76,15.54,0,6.75,2.32,2.18,5.28,1.64,3.89,5.3,2.81,3,1,#QR50 1CN
33,0.188,0.188,211,2.75,15.48,0,6.65,2.4,2.27,6.85,1.68,4.03,4.4,2.67,3,1,#QR50 1CN
34,0.188,0.188,210,2.71,14.99,0,6.85,2.48,2.31,6.55,2.47,4.28,4.8,2.38,3,1,#QR50 1CN
35,0.188,0.188,208,2.66,14.35,0,6.78,2.62,2.36,6.25,1.8,3.38,4.8,2.25,3,1,#QR50 1CN
36,0.188,0.188,184,2.5,15,0,6.81,2.3,2.07,5.21,1.88,3.88,4.8,2.15,3,1,#QR50 1CN
37,0.188,0.188,176,2.47,15.96,0,6.58,2.1,2.07,6,1.59,4.72,4.9,2.18,3,1,#QR50 1CN
38,0.188,0.188,208,2.82,14.46,0,6.82,2.3,2,7.65,2.41,4.59,5.1,2.1,3,1,#QR50 1CN
39,0.188,0.188,100,2.31,14.94,0,6.83,3.39,3.2,6,2.27,8.41,3.8,3.13,4,0,#QR50 0.5CN
40,0.188,0.188,100,2.34,14.94,0,6.79,2.89,2.74,6.15,2.25,8.35,4.1,4.47,4,0,#QR50 0.5CN
41,0.188,0.188,100,2.34,14.99,0,6.88,2.37,2.25,5.75,2.13,7.94,3.9,5.72,4,0,#QR50 0.5CN
42,0.188,0.188,100,2.34,14.94,0,6.64,2.17,2.02,4.28,2.01,6.94,4,6.04,4,0,#QR50 0.5CN
43,0.188,0.188,100,2.31,14.92,0,6.62,1.94,1.87,4.9,1.97,6.61,4.5,6.63,4,0,#QR50 0.5CN
44,0.188,0.188,100,2.34,14.94,0,6.65,2.33,2.3,5.07,2.01,5.66,4.6,5.83,4,0,#QR50 0.5CN
45,0.188,0.188,103,2.45,14.86,0,6.61,2.2,2.16,5.24,2.02,5.48,4.6,6.16,4,0,#QR50 0.5CN
46,0.188,0.188,104,2.45,14.94,0,6.65,2.08,2.01,5.28,1.98,5.36,5,5.35,4,1,#QR50 0.5CN
47,0.188,0.188,100,2.31,14.94,0,6.89,2.07,2.04,5.8,1.86,5.12,4.9,5.49,4,1,#QR50 0.5CN
48,0.188,0.188,108,2.31,14.95,0,6.85,1.89,1.87,5.7,1.91,5.33,5,5.28,4,1,#QR50 0.5CN
49,0.188,0.188,117,2.31,14.98,0,6.79,1.2,1.2,5.68,2.62,5.29,4.9,5.59,4,1,#QR50 0.5CN
50,0.188,0.188,93,2.31,14.98,0,6.88,1.49,1.47,4.65,1.87,5.43,5,6.4,4,1,#QR50 0.5CN
51,0.188,0.188,100,2.31,14.97,0,6.83,1.1,1.1,4.92,1.86,5.45,4.8,5.9,4,1,#QR50 0.5CN
52,0.188,0.188,100,2.31,14.97,0,6.89,1.34,1.34,5.72,1.85,5.47,4.7,6.26,4,0,#QR50 0.5CN
53,0.281,0.094,162,3.75,22.05,0,3.3,3.13,3.1,6.99,2.73,8.24,7.7,4.17,5,0,#QR25 0.5CN
54,0.281,0.094,90,3.75,21,0,3.4,3.78,3.7,6.16,2.86,7.5,7.6,5.61,5,0,#QR25 0.5CN
55,0.281,0.094,99,3.75,22.5,0,3.43,3.25,3.2,7.05,3.27,8.97,7.7,4.02,5,0,#QR25 0.5CN
56,0.281,0.094,164,3.75,22.73,0,3.36,2.71,2.68,7.09,3.09,8.88,7.9,2.91,5,0,#QR25 0.5CN
57,0.281,0.094,162,3.75,21,0,3.38,2.98,2.8,6.61,2.95,8.32,8,3.41,5,0,#QR25 0.5CN
58,0.281,0.094,159,3.75,20.18,0,3.42,3.38,3.09,6.12,2.84,7.58,7.6,3,5,0,#QR25 0.5CN
59,0.281,0.094,162,3.75,20.18,0,3.4,2.97,2.7,6.61,2.8,7.58,7.8,3.47,5,0,#QR25 0.5CN
60,0.281,0.094,158,3.75,20.18,0,3.36,3.07,2.77,6.02,2.83,7.88,7.9,2.86,5,0,#QR25 0.5CN
61,0.281,0.094,158,3.87,23.25,0,3.43,1.6,1.6,5.97,2.98,8.7,7.5,3.58,5,1,#QR25 0.5CN
62,0.281,0.094,166,3.87,23.25,0,3.41,2.11,2.1,6.53,2.97,9.07,7.1,2.47,5,1,#QR25 0.5CN
63,0.281,0.094,164,3.92,22.8,0,3.43,1.77,1.75,6.73,3.12,9.4,7.4,3.33,5,1,#QR25 0.5CN
64,0.281,0.094,160,3.92,22.5,0,3.32,2.06,1.98,7.09,3.11,8.97,6.9,2.68,5,1,#QR25 0.5CN
65,0.281,0.094,152,3.92,22.5,0,3.44,1.7,1.6,6.63,3.13,9.24,7.1,2.63,5,1,#QR25 0.5CN
66,0.281,0.094,163,3.87,22.5,0,3.41,1.7,1.6,7.69,3.03,8.98,7.8,2.76,5,1,#QR25 0.5CN
67,0.281,0.094,160,3.9,23.25,0,3.4,1.13,1.12,7.33,3.13,9.06,7.47,3.2,5,1,#QR25 0.5CN
68,0.188,0.188,369,2.1,14.93,0,6.8,4.37,4.19,12.2,0.39,4.18,0,2.2,6,0,#QR50 2CN TBD
69,0.188,0.188,348,1.89,14.97,0,6.69,4.21,4.01,12.3,0.92,5.31,0,1.62,6,0,#QR50 2CN TBD
70,0.188,0.188,364,2.03,14.97,0,6.84,3.95,3.73,10.3,1.02,5.12,0,1.91,6,0,#QR50 2CN TBD
71,0.188,0.188,395,1.99,14.97,0,6.75,3.86,3.64,9.82,1.02,4.52,0,1.67,6,0,#QR50 2CN TBD
72,0.188,0.188,418,2.44,15,0,6.79,3.86,3.66,11.1,1.2,4.1,0,1.8,6,0,#QR50 2CN TBD
73,0.188,0.188,414,2.44,14.94,0,6.62,3.87,3.69,11.1,0.32,3.71,0,1.87,6,1,#QR50 2CN TBD
74,0.188,0.188,397,2.3,14.99,0,6.81,3.81,3.63,11,0.23,3.67,0,1.8,6,1,#QR50 2CN TBD
75,0.188,0.188,380,2.3,14.97,0,6.67,3.69,3.52,11.1,0.71,3.92,0,1.94,6,1,#QR50 2CN TBD
76,0.188,0.188,400,2.3,14.97,0,6.62,3.62,3.46,11.3,0.68,3.31,0,1.92,6,1,#QR50 2CN TBD
77,0.188,0.188,405,1.99,14.95,0,6.85,3.7,3.4,10.9,0.22,3.21,0,0.8,6,1,#QR50 2CN TBD
78,0.188,0.188,390,2.49,15.06,0,6.85,3.34,3.16,11.45,0.32,3.92,0,1.68,6,1,#QR50 2CN TBD
79,0.188,0.188,418,2.51,14.94,0,6.71,3.11,2.92,9.8,0.42,3.98,0,2.15,6,1,#QR50 2CN TBD
80,0.188,0.188,381,2.31,14.97,0,6.71,3.1,3.1,8.43,0.42,4.01,0,2.87,6,1,#QR50 2CN TBD
