OTU	MQ180615-57	MQ181108-127	MQ180831-130	MQ181108-123	MQ171106-92	MQ181108-140	MQ181108-124	MQ181221-119	MQ171215-156	MQ181108-118	MQ181108-130	MQ181108-136	MQ181221-116	MQ181221-114	MQ171129-75	MQ181108-119	MQ171129-106	MQ181108-138	MQ181221-118	MQ171106-87	MQ181108-122	MQ181108-120	MQ181108-134	MQ181108-133	MQ180525-285	MQ181108-125	MQ181108-135	MQ181108-141	MQ181108-132	MQ181221-113	MQ181108-139	MQ181108-126	MQ181108-137	MQ181221-117	MQ180212-184	MQ180819-22	MQ181108-131	MQ171215-93	MQ181221-111	MQ181221-112	MQ181108-128	MQ180801-286	MQ180615-71	MQ181221-115	MQ181108-129	MQ181108-121	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_719	0	2	0	0	5	0	0	5	0	0	0	0	9	23	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	20	0	0	1	13	0	0	1	0	11	8	1	0	0	18	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Aestuariimicrobium	s__
OTU_3100	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Sandaracinaceae	g__uncultured	s__
OTU_1071	7	0	1	0	21	4	0	0	3	0	0	0	0	0	5	0	2	0	0	5	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	3	5	0	0	0	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU_1535	6	0	0	0	12	1	0	0	1	0	0	0	0	0	2	0	3	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	2	4	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Granulicoccus	s__
OTU_686	30	0	10	0	47	20	0	5	5	0	0	0	0	10	5	0	12	0	1	11	0	0	0	0	9	0	0	0	0	8	1	0	0	0	4	9	0	12	1	2	0	9	20	7	0	0	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Saprospiraceae	g__QEDR3BF09	s__
OTU_2064	1	0	2	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus 1	s__
OTU_3036	1	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
OTU_183	287	0	53	0	497	114	0	0	72	0	0	0	0	0	52	0	59	0	1	162	0	0	0	0	97	0	0	0	0	0	5	0	0	0	83	102	0	78	0	0	0	71	147	0	0	0	k__Bacteria	p__Lentisphaerae	c__BS5	o__BS5	f__063F12	g__030B12	s__
OTU_2090	2	0	1	0	8	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__BSV26	g__	s__
OTU_1781	4	0	2	0	5	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	1	6	0	0	0	Unassigned						
OTU_1217	7	0	1	0	22	5	0	0	2	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	8	0	3	0	0	0	1	3	0	0	0	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__GR-WP33-30	f__	g__	s__
OTU_1006	7	0	2	0	18	1	0	4	4	0	0	0	0	6	1	0	1	0	0	5	0	0	0	0	3	0	0	0	0	4	0	0	0	0	3	5	0	4	0	4	0	1	3	8	0	0	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__sublineage II
OTU_948	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	1	1	2	0	1	3	0	0	11	0	0	1	0	0	0	1	0	10	7	0	0	0	0	3	1	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Propionivibrio	s__
OTU_2594	1	0	0	0	4	1	0	0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Camelimonas	s__
OTU_952	8	0	2	0	13	6	0	0	2	0	0	0	0	0	2	0	1	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	3	0	0	0	k__Bacteria	p__Chloroflexi	c__SHA-26	o__	f__	g__	s__
OTU_1433	6	0	2	0	7	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	2	3	0	0	0	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Skagen138	s__
OTU_3324	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__
OTU_2690	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__480-2	g__K2-78	s__
OTU_54	1	63	0	533	1	2	327	137	1	1265	63	122	308	329	0	1158	0	94	118	0	924	1747	232	486	0	229	155	0	93	436	0	342	55	186	1	0	97	1	493	415	83	0	0	309	65	553	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Methyloversatilis	s__
OTU_1803	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Sulfuritalea	s__
OTU_675	96	0	23	0	193	63	0	0	30	0	0	0	0	0	26	0	28	0	0	50	0	0	0	0	39	0	0	0	0	0	2	0	0	0	23	62	0	43	0	0	0	42	41	0	0	0	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax	s__
OTU_3039	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Chitinophagaceae	g__uncultured	s__
OTU_950	0	0	0	0	1	1	0	21	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__uncultured	s__
OTU_1865	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101 soil group	f__	g__	s__
OTU_2822	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Denitratisoma	s__
OTU_1186	7	0	2	0	16	3	0	0	6	0	0	0	0	0	5	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	1	0	0	0	5	3	0	0	0	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__Gemmata	s__
OTU_2582	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Chitinophagaceae	g__uncultured	s__
OTU_2713	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Pelolinea	s__
OTU_3332	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Verrucomicrobia	c__OPB35 soil group	o__	f__	g__	s__
OTU_1682	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	Unassigned						
OTU_582	46	0	16	0	83	24	0	0	26	0	0	0	0	0	19	0	8	0	0	26	0	0	0	0	20	0	0	0	0	0	0	0	0	0	19	21	0	22	0	0	0	15	23	0	0	0	k__Bacteria	p__Planctomycetes	c__Planctomycetacia	o__Planctomycetales	f__Planctomycetaceae	g__uncultured	s__
OTU_118	372	0	60	0	702	159	0	0	118	0	0	0	0	0	84	0	113	0	1	161	0	0	0	0	138	0	0	0	0	0	2	0	0	0	68	155	0	117	0	0	0	98	181	0	0	0	k__Bacteria	p__Marinimicrobia (SAR406 clade)	c__	o__	f__	g__	s__
OTU_884	20	0	4	1	38	13	0	0	15	0	0	0	0	2	9	1	8	1	0	9	1	2	0	0	7	0	0	0	1	2	0	1	0	1	6	12	0	13	1	1	0	8	10	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Xanthobacter	s__
OTU_2188	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Blvii28 wastewater-sludge group	s__
OTU_2663	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	k__Bacteria	p__Firmicutes	c__Clostridia	o__D8A-2	f__	g__	s__
OTU_424	75	0	15	0	171	48	0	0	32	0	0	0	0	0	17	0	11	0	0	47	0	0	0	0	38	0	0	0	1	0	0	0	0	0	27	45	0	42	0	0	0	25	29	0	0	0	k__Bacteria	p__Parcubacteria	c__	o__	f__	g__	s__
OTU_1826	2	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Devosia	s__
OTU_19	6534	0	1159	0	13718	3638	1	1	2907	0	0	5	0	0	1816	0	2512	4	23	3945	0	0	0	0	2730	0	0	0	21	0	51	0	0	0	1609	3189	1	2874	0	0	0	2397	3102	0	0	0	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__T78	s__
OTU_1120	3	0	1	0	19	0	0	0	3	0	0	0	0	0	4	0	1	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	2	0	4	0	0	0	0	3	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Propioniciclava	s__
OTU_2420	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__uncultured	g__	s__
OTU_71	0	120	0	252	0	0	113	31	0	159	284	266	33	37	0	132	0	223	20	0	192	129	186	133	0	94	140	0	423	139	0	179	273	24	0	0	313	0	161	148	192	0	0	41	106	237	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Spirosoma	s__
OTU_2456	4	0	1	0	7	2	0	0	3	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__GR-WP33-58	g__32C6	s__
OTU_11	21	1157	5	38	47	7	1596	3132	9	14	363	1613	1356	1512	5	6	10	1119	3375	14	15	14	1089	648	6	1211	716	1	635	1397	1	1424	1354	3341	10	10	477	12	1369	955	2090	4	10	1228	1252	30	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Devosia	s__
OTU_514	75	0	12	0	124	28	0	0	19	0	0	0	0	0	11	0	24	0	1	31	0	0	0	0	30	0	0	0	0	0	0	0	0	0	13	16	0	23	0	0	0	12	28	0	0	0	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Syntrophomonadaceae	g__Syntrophomonas	s__
OTU_1507	0	1	0	0	0	0	5	1	0	3	17	9	4	1	0	4	0	5	0	0	0	1	10	2	0	3	4	0	17	4	0	4	8	1	0	0	5	0	1	0	0	0	0	2	3	1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Cohnella	s__
OTU_1157	9	0	1	0	25	1	0	0	1	0	0	0	0	0	3	0	2	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	7	0	2	0	0	0	2	3	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Brooklawnia	s__
OTU_1984	2	0	1	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Petrimonas	s__
OTU_1360	1	0	0	0	10	3	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	1	3	0	0	0	Unassigned						
OTU_798	16	0	4	0	22	7	0	0	4	0	0	0	0	0	4	0	4	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	6	0	4	0	0	0	4	2	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Ketogulonicigenium	s__
OTU_2841	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__NS11-12 marine group	g__	s__
OTU_2581	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnospiraceae UCG-001	s__
OTU_1389	1	0	0	0	5	0	0	3	3	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__
OTU_1997	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__B63	s__
OTU_2998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__[Eubacterium] coprostanoligenes group	s__
OTU_529	0	0	0	2	0	0	3	6	0	9	4	0	9	11	0	7	0	2	4	0	4	13	25	20	0	15	14	0	6	1	0	10	1	3	0	0	4	0	0	0	3	0	0	6	7	0	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Luteolibacter	s__
OTU_1149	4	0	1	0	8	0	0	0	2	0	0	0	0	0	6	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	k__Bacteria	p__Candidate division SR1	c__	o__	f__	g__	s__
OTU_737	14	0	2	0	28	8	0	0	10	0	0	0	0	0	3	0	5	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	5	0	3	0	0	0	7	4	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__
OTU_2352	1	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__
OTU_975	10	0	2	0	27	10	0	0	4	0	0	0	0	0	3	0	1	0	0	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	4	4	0	3	0	0	0	3	2	0	0	0	Unassigned						
OTU_30	2486	0	448	0	4911	1190	0	0	799	0	0	0	0	1	655	0	647	1	10	1191	0	0	0	0	623	0	0	0	8	0	18	0	0	0	520	1081	0	797	0	0	0	820	1263	0	0	0	k__Bacteria	p__Bacteroidetes	c__vadinHA17	o__vadinHA17	f__SHA-94	g__SHA-94	s__
OTU_718	6	139	1	224	17	6	288	356	8	68	190	447	531	604	3	71	3	380	360	5	220	79	244	111	3	266	166	0	332	671	0	249	478	464	6	3	208	3	669	497	211	4	4	489	201	280	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Kaistia	s__
OTU_2507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Propioniciclava	s__
OTU_2761	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminiclostridium	s__
OTU_2160	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria	p__Armatimonadetes	c__	o__	f__	g__	s__
OTU_761	21	0	0	0	53	10	0	0	9	0	0	0	0	0	11	0	11	0	0	19	0	0	0	0	5	0	0	0	0	0	0	0	0	0	7	6	0	11	0	0	0	10	14	0	0	0	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	g__Proteiniclasticum	s__
OTU_897	10	0	2	0	32	6	0	0	4	0	0	0	0	0	4	0	2	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	18	0	4	0	0	0	5	12	0	0	0	Unassigned						
OTU_1848	5	0	1	0	17	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
OTU_3175	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__I-10	g__	s__
OTU_499	33	0	6	0	55	9	0	0	13	0	0	0	0	0	12	0	17	0	0	19	0	0	0	0	18	0	0	0	0	0	0	0	0	0	5	16	0	7	0	0	0	7	17	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Marisediminicola	s__
OTU_1574	4	0	0	0	10	5	0	0	2	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	2	0	0	0	0	3	2	0	0	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__DEV007	g__	s__
OTU_1447	8	0	2	0	13	6	0	0	2	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	1	1	0	0	0	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__WCHB1-69	g__009E01	s__
OTU_1732	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__
OTU_507	24	0	5	0	58	20	0	0	13	0	0	0	0	0	6	0	9	0	0	13	0	0	0	0	10	0	0	0	0	0	0	0	0	0	9	14	0	7	0	0	0	6	15	0	0	0	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__uncultured	s__
OTU_2250	3	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnobacter	s__
